"","freq","threshold","sd","n/a","subj"
"1","14000",35,1.41421356,NA,"x13"
"2","16000",65,0.81649658,NA,"x13"
"3","14000",36.5,1.60727513,NA,"x13"
"4","16000",63.5,1.5,NA,"x13"
"5","16000",62.16666667,2.11476292,NA,"x13"
"6","14000",34.33333333,0.74535599,NA,"x13"
"7","16000",38,1.41421356,NA,"x15"
"8","14000",32.83333333,0.89752747,NA,"x15"
"9","16000",37,0.81649658,NA,"x15"
"10","14000",33.33333333,1.49071198,NA,"x15"
"11","14000",35.33333333,0.74535599,NA,"x15"
"12","16000",38.83333333,0.89752747,NA,"x15"
"13","14000",32.5,0.5,NA,"x17"
"14","16000",43.33333333,0.74535599,NA,"x17"
"15","14000",31.33333333,1.1055416,NA,"x17"
"16","16000",42.83333333,1.06718737,NA,"x17"
"17","14000",33,2.1602469,NA,"x17"
"18","16000",42.33333333,1.24721913,NA,"x17"
"19","16000",61.83333333,5.45944645,NA,"x24"
"20","14000",41.5,1.70782513,NA,"x24"
"21","14000",41.83333333,1.06718737,NA,"x24"
"22","16000",66.33333333,1.24721913,NA,"x24"
"23","14000",41.66666667,1.24721913,NA,"x24"
"24","16000",65.16666667,0.68718427,NA,"x24"
"25","14000",29.5,0.5,NA,"p01"
"26","16000",38,0.81649658,NA,"p01"
"27","14000",28.66666667,1.37436854,NA,"p01"
"28","16000",38.5,1.25830574,NA,"p01"
"29","14000",30.5,0.5,NA,"p01"
"30","16000",39.5,0.95742711,NA,"p01"
"31","16000",64.33333333,1.24721913,NA,"P02"
"32","14000",34.33333333,1.37436854,NA,"P02"
"33","16000",65.83333333,1.57233019,NA,"P02"
"34","14000",32.5,2.21735578,NA,"P02"
"35","14000",32,0.81649658,NA,"P02"
"36","16000",65.5,2.1408721,NA,"P02"
"37","14000",NA,0,NA,"p03"
"38","16000",41.5,0.95742711,NA,"p05"
"39","14000",27.66666667,1.1055416,NA,"p05"
"40","16000",38.5,1.25830574,NA,"x01"
"41","14000",33.83333333,1.57233019,NA,"x01"
"42","16000",37.83333333,2.54405625,NA,"x01"
"43","14000",35.33333333,0.74535599,NA,"x01"
"44","16000",38,0.81649658,NA,"x01"
"45","14000",32.5,1.5,NA,"x01"
"46","14000",33,0.81649658,NA,"x02"
"47","16000",32.83333333,1.57233019,NA,"x02"
"48","16000",33.5,1.38443731,NA,"x02"
"49","14000",32.33333333,0.74535599,NA,"x02"
"50","16000",34.66666667,1.24721913,NA,"x02"
"51","14000",30.16666667,1.06718737,NA,"x02"
"52","16000",62.66666667,0.74535599,NA,"x03"
