"","n_comp","freq","threshold","sd","subj"
"1",9,"6100",13,0,"p99"
"2",5,"300",-5.375,0.80039053,"p99"
"3",3,"300",0.25,0.8291562,"p99"
"4",3,"6100",13,0,"p99"
"5",15,"6100",13,0,"p99"
"6",15,"300",-1.75,0.61237244,"p99"
"7",9,"300",-5.5,1.73205081,"p99"
"8",5,"6100",13,0,"p99"
"9",15,"300",-2,2.54950976,"p99"
"10",5,"300",-10.875,3.55536566,"p99"
"11",9,"300",-6.875,1.00778222,"p99"
"12",9,"6100",13,0,"p99"
"13",3,"6100",13,0,"p99"
"14",5,"6100",13,0,"p99"
"15",15,"6100",13,0,"p99"
"16",3,"300",-0.125,1.25623445,"p99"
"17",5,"6100",13,0,"p99"
"18",3,"300",-8.25,0.55901699,"p99"
"19",3,"6100",0.625,3.39346799,"p99"
"20",15,"6100",13,0,"p99"
"21",9,"300",-6.5,1.5411035,"p99"
"22",5,"300",-7,0.61237244,"p99"
"23",15,"300",0.875,0.9437293,"p99"
"24",9,"6100",13,0,"p99"
"25",9,"6100",13,0,"p99"
"26",15,"6100",13,0,"p99"
"27",9,"300",-6.375,1.17924764,"p99"
"28",15,"300",-0.5,1.27475488,"p99"
"29",3,"6100",7.5,2.27760839,"p99"
"30",3,"300",-0.625,0.9437293,"p99"
"31",5,"6100",13,0,"p99"
"32",5,"300",-4.75,0.96824584,"p99"
"33",5,"300",-5.5,0.61237244,"p99"
"34",9,"300",-1.25,2.62202212,"p99"
"35",15,"300",-0.75,0.55901699,"p99"
"36",3,"300",-4.25,1.03077641,"p99"
"37",9,"6100",13,0,"p99"
"38",5,"6100",13,0,"p99"
"39",15,"6100",13,0,"p99"
"40",3,"6100",5.25,0.8291562,"p99"
"41",5,"300",-5.5,0.96824584,"x32"
"42",5,"6100",13,0,"x32"
"43",9,"300",-3.375,1.46308749,"x32"
"44",3,"6100",13,0,"x32"
"45",15,"6100",13,0,"x32"
"46",9,"6100",13,0,"x32"
"47",3,"300",7.45833333,2.42992055,"x32"
"48",15,"300",0,0.55901699,"x32"
"49",3,"6100",13,0,"x32"
"50",5,"6100",13,0,"x32"
"51",3,"300",-3.375,1.00778222,"x32"
"52",5,"300",-0.375,0.80039053,"x32"
"53",9,"6100",13,0,"x32"
"54",9,"300",-6.25,0.61237244,"x32"
"55",15,"300",-2.625,1.17924764,"x32"
"56",15,"6100",13,0,"x32"
"57",3,"6100",13,0,"x32"
"58",3,"300",-2.875,1.28086885,"x32"
