"","n_comp","freq","threshold","sd","subj"
"1",9,6100,7.125,1.00778222,"x01"
"2",9,300,-3.375,4.61146669,"x01"
"3",9,300,-2.75,2.27760839,"x01"
"4",9,6100,1,4.14578099,"x01"
"5",9,6100,13,0,"x01"
"6",9,300,-3.625,1.125,"x01"
"7",9,6100,13,0,"x01"
"8",9,300,-9,1.5411035,"x01"
"9",9,300,-10.75,0.75,"x01"
"10",9,6100,5,0.8660254,"x01"
"11",9,6100,-2.125,0.71807033,"x01"
"12",9,300,-5.875,4.25918126,"x01"
"13",9,300,4.125,0.80039053,"x02"
"14",9,6100,13,0,"x02"
"15",9,6100,13,0,"x02"
"16",9,300,-7.625,0.91001374,"x02"
"17",9,300,-5.5,0.61237244,"x02"
"18",9,6100,8.25,2.01556444,"x02"
"19",9,6100,13,0,"x02"
"20",9,300,-4.375,0.375,"x02"
"21",9,6100,3.20833333,5.31392955,"x02"
"22",9,300,-6.625,1.28086885,"x02"
"23",9,300,-3.875,3.83446541,"x02"
"24",9,6100,-1,0.61237244,"x02"
"25",9,300,-5.625,1.00778222,"x07"
"26",9,6100,-2.625,1.70018381,"x07"
"27",9,300,-8.375,0.5153882,"x07"
"28",9,6100,3.875,1.60565407,"x07"
"29",9,300,-6.25,0.96824584,"x07"
"30",9,6100,9.625,0.375,"x07"
"31",9,300,-8.875,0.71807033,"x07"
"32",9,6100,-0.5,1.5411035,"x07"
"33",9,300,-10,1.43614066,"x07"
"34",9,6100,9.625,0.375,"x07"
"35",9,300,-10,1.14564392,"x07"
"36",9,6100,13,0,"x07"
"37",9,300,-2.125,0.9437293,"x09"
"38",9,6100,13,0,"x09"
"39",9,300,-13.125,1.17924764,"x09"
"40",9,6100,7.75,2.06155281,"x09"
"41",9,6100,13,0,"x09"
"42",9,300,-11.75,0.55901699,"x09"
"43",9,300,-11.75,0.55901699,"x09"
"44",9,6100,3.625,2.57694102,"x09"
"45",9,300,-11.75,1.76776695,"x09"
"46",9,6100,13,0,"x09"
"47",9,6100,-1.625,2.7866871,"x09"
"48",9,300,-12.5,1.87082869,"x09"
"49",9,6100,1.125,1.32876823,"x11"
"50",9,300,-2.5,3.24037035,"x11"
"51",9,300,-3.75,3.0516389,"x11"
"52",9,6100,13,0,"x11"
"53",9,300,-7.625,2.00390244,"x11"
"54",9,6100,0.875,0.9437293,"x11"
"55",9,6100,13,0,"x11"
"56",9,300,-12.25,1.36930639,"x11"
"57",9,300,-10.125,2.00390244,"x11"
"58",9,6100,0.75,1.71391365,"x11"
"59",9,300,-8,0.93541435,"x11"
"60",9,6100,-5.125,0.9437293,"x11"
"61",9,6100,13,0,"x14"
"62",9,300,5,1.67705098,"x14"
"63",9,6100,6.58333333,4.47601633,"x14"
"64",9,300,-2.5,0.96824584,"x14"
"65",9,300,-0.25,0.61237244,"x14"
"66",9,6100,-2,5.52268051,"x14"
"67",9,300,-2.125,1.66301684,"x14"
"68",9,6100,7.75,1.29903811,"x14"
"69",9,300,-1.625,2.00390244,"x14"
"70",9,6100,13,0,"x14"
"71",9,300,-1.25,1.82002747,"x14"
