"","freq","threshold","sd","subj"
"1",1,-11.33333333,1.49071198,"x01"
"2",2,-13,1.91485422,"x01"
"3",1,-12,3.82970843,"x01"
"4",2,-9,1.91485422,"x01"
"5",1,-12,2,"x01"
"6",2,-4.33333333,2.13437475,"x01"
"7",1,-11.33333333,2.49443826,"x01"
"8",2,-9,3.41565026,"x01"
"9",1,-12,2.30940108,"x01"
"10",2,-6.66666667,4.5704364,"x01"
"11",2,-4.33333333,2.13437475,"x01"
"12",1,-11.33333333,2.21108319,"x01"
"13",1,-2,1.63299316,"x02"
"14",2,0,0,"x02"
"15",1,-1.66666667,2.13437475,"x02"
"16",2,0,0,"x02"
"17",2,0,0,"x02"
"18",1,0,0,"x02"
"19",2,0,0,"x02"
"20",1,0,0,"x02"
"21",1,0,0,"x02"
"22",2,0,0,"x02"
"23",1,-4.33333333,2.13437475,"x02"
"24",2,0,0,"x02"
"25",2,0,0,"x07"
"26",1,-3.66666667,2.13437475,"x07"
"27",2,-1.66666667,1.37436854,"x07"
"28",1,-7.33333333,2.49443826,"x07"
"29",1,-8.66666667,2.21108319,"x07"
"30",2,-6.33333333,2.13437475,"x07"
"31",1,-8.33333333,4.06885187,"x07"
"32",2,-3,1,"x07"
"33",2,-4,2.5819889,"x07"
"34",1,-8,1.63299316,"x07"
"35",2,-4,1.63299316,"x07"
"36",1,-8,2.30940108,"x07"
"37",2,0,0,"x09"
"38",1,-12,1.63299316,"x09"
"39",1,-11,1,"x09"
"40",2,0,0,"x09"
"41",2,0,0,"x09"
"42",1,-10.33333333,3.72677996,"x09"
"43",2,0,0,"x09"
"44",1,-8.33333333,1.79505494,"x09"
"45",2,0,0,"x09"
"46",1,-7.33333333,4.26874949,"x09"
"47",2,0,0,"x09"
"48",1,-9,2.51661148,"x09"
"49",1,0,0,"x11"
"50",2,-2,1.63299316,"x11"
"51",1,-6.33333333,3.54338194,"x11"
"52",2,-4.66666667,2.49443826,"x11"
"53",2,-8.33333333,2.13437475,"x11"
"54",1,0,0,"x11"
"55",1,-4.66666667,2.98142397,"x11"
"56",2,-7.33333333,1.49071198,"x11"
"57",2,-6,3.65148372,"x11"
"58",1,-6.66666667,3.39934634,"x11"
"59",2,-6.33333333,3.72677996,"x11"
"60",1,-6.33333333,2.92498813,"x11"
"61",2,0,0,"x14"
"62",1,-11.33333333,1.49071198,"x14"
"63",1,-8.33333333,2.4267033,"x14"
"64",2,-2.66666667,1.49071198,"x14"
"65",1,-9.33333333,1.49071198,"x14"
"66",2,0,0,"x14"
"67",2,0,0,"x14"
"68",1,-4.66666667,2.74873708,"x14"
"69",1,-8,1.63299316,"x14"
"70",2,0,0,"x14"
"71",2,0,0,"x14"
"72",1,-6,1.63299316,"x14"
"73",2,0,0,"x15"
"74",1,-5.33333333,2.98142397,"x15"
"75",2,-3.66666667,3.34995854,"x15"
"76",1,-9.33333333,1.49071198,"x15"
"77",2,0,0,"x15"
"78",1,-7.66666667,3.90156664,"x15"
"79",1,-7.66666667,1.79505494,"x15"
"80",2,-3.33333333,2.98142397,"x15"
"81",2,0,0,"x15"
"82",1,-8,2.30940108,"x15"
"83",2,0,0,"x15"
"84",1,-8,1.63299316,"x15"
"85",2,0,0,"x16"
"86",1,-4,2.5819889,"x16"
"87",1,-8.66666667,2.74873708,"x16"
"88",2,0,0,"x16"
"89",1,-7.33333333,1.49071198,"x16"
"90",2,0,0,"x16"
"91",2,0,0,"x16"
"92",1,-9,2.23606798,"x16"
"93",2,0,0,"x16"
"94",1,-9,1.91485422,"x16"
"95",2,0,0,"x16"
"96",1,-7.33333333,1.49071198,"x16"
"97",1,0,0,"x17"
"98",2,0,0,"x17"
"99",1,0,0,"x17"
"100",2,0,0,"x17"
"101",2,0,0,"x17"
"102",1,0,0,"x17"
"103",1,-1,1,"x17"
"104",2,0,0,"x17"
"105",2,0,0,"x17"
"106",1,0,0,"x17"
"107",1,0,0,"x17"
"108",2,0,0,"x17"
"109",1,-2.66666667,1.49071198,"x18"
"110",2,0,0,"x18"
"111",2,0,0,"x18"
"112",1,-3,2.51661148,"x18"
"113",2,0,0,"x18"
"114",1,0,0,"x18"
"115",2,0,0,"x18"
"116",1,-1.33333333,1.49071198,"x18"
"117",1,-3,1,"x18"
"118",2,0,0,"x18"
"119",1,-2.33333333,1.79505494,"x18"
"120",2,0,0,"x18"
"121",1,0,0,"x20"
"122",2,0,0,"x20"
"123",1,0,0,"x20"
"124",2,0,0,"x20"
"125",2,0,0,"x20"
"126",1,0,0,"x20"
"127",1,0,0,"x20"
"128",2,0,0,"x20"
