"","freq","threshold","sd","subj"
"1",2,-16,1.63299316,"x01"
"2",1,-11.66666667,1.37436854,"x01"
"3",2,-18,2.30940108,"x01"
"4",1,-13,1,"x01"
"5",2,-16.66666667,1.49071198,"x01"
"6",1,-14.66666667,1.88561808,"x01"
"7",2,-16,2,"x01"
"8",1,-13.33333333,2.98142397,"x01"
"9",1,-13,1.91485422,"x01"
"10",2,-17,1.91485422,"x01"
"11",2,-17.66666667,1.37436854,"x01"
"12",1,-14.33333333,2.13437475,"x01"
"13",1,-10,2.30940108,"x02"
"14",2,-9.33333333,3.94405319,"x02"
"15",2,-9.66666667,1.79505494,"x02"
"16",1,-8,2.5819889,"x02"
"17",2,-7.33333333,1.88561808,"x02"
"18",1,-12.66666667,1.49071198,"x02"
"19",2,-13.66666667,2.13437475,"x02"
"20",1,-9,1.91485422,"x02"
"21",1,-9.66666667,2.68741925,"x02"
"22",2,-8.66666667,4.26874949,"x02"
"23",1,-7,1.91485422,"x02"
"24",2,-11,1,"x02"
"25",2,-15.66666667,1.79505494,"x07"
"26",1,-13.33333333,2.21108319,"x07"
"27",2,-16,2.30940108,"x07"
"28",1,-12,1.63299316,"x07"
"29",1,-12.33333333,2.13437475,"x07"
"30",2,-16.33333333,2.13437475,"x07"
"31",2,-16.33333333,2.13437475,"x07"
"32",1,-13.33333333,1.88561808,"x07"
"33",2,-14.66666667,1.49071198,"x07"
"34",1,-12.66666667,3.19722102,"x07"
"35",2,-14.33333333,2.68741925,"x07"
"36",1,-12.66666667,2.49443826,"x07"
"37",1,-11,1,"x09"
"38",2,-10.33333333,2.4267033,"x09"
"39",1,-13.33333333,2.21108319,"x09"
"40",2,-15.66666667,1.79505494,"x09"
"41",1,-15.33333333,2.49443826,"x09"
"42",2,-11.33333333,1.88561808,"x09"
"43",2,-14.33333333,1.37436854,"x09"
"44",1,-8.33333333,2.13437475,"x09"
"45",1,-12.33333333,1.37436854,"x09"
"46",2,-8.66666667,2.98142397,"x09"
"47",2,-4.66666667,3.59010987,"x09"
"48",1,-12,2.5819889,"x09"
"49",2,-15,1.91485422,"x14"
"50",1,-12.33333333,1.79505494,"x14"
"51",2,-13.66666667,1.37436854,"x14"
"52",1,-11.66666667,3.90156664,"x14"
"53",2,-11.33333333,1.88561808,"x14"
"54",1,-9.66666667,4.8189441,"x14"
"55",1,-10.33333333,2.13437475,"x14"
"56",2,-12.66666667,2.21108319,"x14"
"57",2,-15,2.76887462,"x14"
"58",1,-10,1.63299316,"x14"
"59",2,-15,2.23606798,"x14"
"60",1,-11.66666667,1.79505494,"x14"
"61",2,-6,3.26598632,"x15"
"62",1,-11,1.91485422,"x15"
"63",1,-13.33333333,1.49071198,"x15"
"64",2,-4.66666667,4.10960934,"x15"
"65",1,-13.66666667,2.13437475,"x15"
"66",2,-8,2.5819889,"x15"
"67",2,-3,1,"x15"
"68",1,-9,1.91485422,"x15"
"69",2,-9,2.76887462,"x15"
"70",1,-11,1,"x15"
"71",1,-11,1,"x15"
"72",2,-12,2,"x15"
"73",2,-14,2.30940108,"x16"
"74",1,-11.33333333,2.98142397,"x16"
"75",2,-13.66666667,2.13437475,"x16"
"76",1,-11,1,"x16"
"77",2,-14,2.30940108,"x16"
"78",1,-13,1.91485422,"x16"
"79",1,-10.33333333,2.13437475,"x16"
"80",2,-14.33333333,2.13437475,"x16"
"81",1,-10,1.63299316,"x16"
"82",2,-15,1,"x16"
"83",2,-11.33333333,2.98142397,"x16"
"84",1,-11.33333333,2.21108319,"x16"
"85",2,-11.66666667,3.54338194,"x17"
"86",1,-11.66666667,2.13437475,"x17"
"87",1,-10.66666667,1.49071198,"x17"
"88",2,-13.33333333,1.49071198,"x17"
"89",2,-14.33333333,1.79505494,"x17"
"90",1,-11.33333333,2.21108319,"x17"
"91",2,-12,3.26598632,"x17"
"92",1,-11,1,"x17"
"93",1,-10.66666667,2.74873708,"x17"
"94",2,-6.33333333,2.13437475,"x17"
"95",1,-10.66666667,1.49071198,"x17"
"96",2,-12.33333333,2.13437475,"x17"
