"","n_comp","freq","threshold","sd","subj","task"
"43",5,"Low",-5.5,0.96824584,"x32","Task"
"44",5,"High",13,0,"x32","Task"
"45",9,"Low",-3.375,1.46308749,"x32","Task"
"46",3,"High",13,0,"x32","Task"
"47",15,"High",13,0,"x32","Task"
"48",9,"High",13,0,"x32","Task"
"49",3,"Low",7.45833333,2.42992055,"x32","Task"
"50",15,"Low",0,0.55901699,"x32","Task"
"51",3,"High",13,0,"x32","Task"
"52",5,"High",13,0,"x32","Task"
"53",3,"Low",-3.375,1.00778222,"x32","Task"
"54",5,"Low",-0.375,0.80039053,"x32","Task"
"55",9,"High",13,0,"x32","Task"
"56",9,"Low",-6.25,0.61237244,"x32","Task"
"57",15,"Low",-2.625,1.17924764,"x32","Task"
"58",15,"High",13,0,"x32","Task"
"59",3,"High",13,0,"x32","Task"
"60",3,"Low",-2.875,1.28086885,"x32","Task"
"61",15,"High",1.45833333,4.51713558,"x32","Task"
"62",5,"Low",-4.125,1.09687055,"x32","Task"
"63",9,"High",13,0,"x32","Task"
"64",15,"Low",-2,1.19895788,"x32","Task"
"65",5,"High",13,0,"x32","Task"
"66",9,"Low",-2.125,1.28086885,"x32","Task"
"67",3,"High",13,0,"x32","Task"
"68",9,"Low",-8.25,0.93541435,"x32","Task"
"69",3,"Low",-0.5,0.55901699,"x32","Task"
"70",5,"High",13,0,"x32","Task"
"71",9,"High",13,0,"x32","Task"
"72",15,"Low",-3.375,0.80039053,"x32","Task"
"73",15,"High",13,0,"x32","Task"
"74",5,"Low",-5,0.93541435,"x32","Task"
"75",15,"Low",-0.875,1.17924764,"x32","Task"
"76",5,"Low",-6.875,2.18303115,"x32","Task"
"77",3,"High",13,0,"x32","Task"
"78",15,"High",13,0,"x32","Task"
"79",3,"Low",-1.125,1.70018381,"x32","Task"
"80",5,"High",13,0,"x32","Task"
"81",9,"Low",-7.375,1.66301684,"x32","Task"
"82",9,"High",9.04166667,1.50980591,"x32","Task"
"83",3,"High",13,0,"x32","Task"
"84",5,"High",13,0,"x32","Task"
"85",15,"Low",-7.125,0.6731456,"x32","Task"
"86",15,"High",13,0,"x32","Task"
"87",9,"High",13,0,"x32","Task"
"88",9,"Low",-9.25,1.06066017,"x32","Task"
"89",3,"Low",-0.625,1.28086885,"x32","Task"
"90",5,"Low",-6.125,1.46308749,"x32","Task"
"91",9,"High",13,0,"x32","Task"
"92",3,"High",13,0,"x32","Task"
"93",5,"High",13,0,"x32","Task"
"94",15,"Low",-4.875,3.55536566,"x32","Task"
"95",3,"Low",-3.625,2.66047458,"x32","Task"
