"","freq","threshold","sd","subj","task"
"2","Low",-14.66666667,1.49071198,"x01","Task"
"3","High",-7.66666667,4.22952585,"x01","Task"
"4","Low",-14.66666667,1.88561808,"x01","Task"
"5","High",-12.33333333,1.37436854,"x01","Task"
"6","Low",-16,1.63299316,"x01","Task"
"7","High",-12.33333333,1.37436854,"x01","Task"
"8","Low",-16.33333333,2.13437475,"x01","Task"
"9","High",-10.33333333,1.79505494,"x01","Task"
"10","High",-11.33333333,2.49443826,"x01","Task"
"11","Low",-15.33333333,1.49071198,"x01","Task"
"12","Low",-15,1,"x01","Task"
"13","High",-12,2,"x01","Task"
"14","High",-18,1.63299316,"x02","Task"
"15","Low",-18,2,"x02","Task"
"16","High",-19.66666667,1.79505494,"x02","Task"
"17","Low",-16.66666667,2.21108319,"x02","Task"
"18","High",-17.66666667,2.68741925,"x02","Task"
"19","Low",-17,1.91485422,"x02","Task"
"20","Low",-17.33333333,2.49443826,"x02","Task"
"21","High",-18.33333333,2.13437475,"x02","Task"
"22","Low",-16.33333333,1.37436854,"x02","Task"
"23","High",-18.33333333,2.68741925,"x02","Task"
"24","High",-19.66666667,2.13437475,"x02","Task"
"25","Low",-17.33333333,1.49071198,"x02","Task"
"26","Low",-9,1.91485422,"x06","Task"
"27","High",0,0,"x06","Task"
"28","High",-2.66666667,1.49071198,"x06","Task"
"29","Low",-2.33333333,1.37436854,"x06","Task"
"30","High",0,0,"x06","Task"
"31","Low",-3.33333333,2.49443826,"x06","Task"
"32","Low",-11.33333333,1.49071198,"x06","Task"
"33","High",-2.66666667,2.74873708,"x06","Task"
"34","Low",-1.33333333,1.49071198,"x06","Task"
"35","High",0,0,"x06","Task"
"36","High",0,0,"x06","Task"
"37","Low",-6.66666667,3.39934634,"x06","Task"
"38","Low",-1.33333333,1.49071198,"x07","Task"
"39","High",0,0,"x07","Task"
"40","High",0,0,"x07","Task"
"41","Low",-9,2.23606798,"x07","Task"
"42","High",0,0,"x07","Task"
"43","Low",-7.33333333,1.49071198,"x07","Task"
"44","Low",-5.66666667,3.14466038,"x07","Task"
"45","High",-1.33333333,1.49071198,"x07","Task"
"46","Low",-3.33333333,2.49443826,"x07","Task"
"47","High",-1.33333333,1.49071198,"x07","Task"
"48","Low",-5.33333333,3.19722102,"x07","Task"
"49","High",0,0,"x07","Task"
"50","High",-14.33333333,2.13437475,"x08","Task"
"51","Low",-14,2,"x08","Task"
"52","Low",-11.33333333,2.98142397,"x08","Task"
"53","High",-11,2.76887462,"x08","Task"
"54","High",-6.66666667,1.49071198,"x08","Task"
"55","Low",-9.33333333,2.21108319,"x08","Task"
"56","Low",-10,3.82970843,"x08","Task"
"57","High",-9,1,"x08","Task"
"58","Low",-12,1.63299316,"x08","Task"
"59","High",-12,1.63299316,"x08","Task"
"60","High",-8.33333333,2.13437475,"x08","Task"
"61","Low",-12,2,"x08","Task"
"62","Low",-14,1.63299316,"x09","Task"
"63","High",-12.66666667,2.98142397,"x09","Task"
"64","Low",-13.66666667,2.68741925,"x09","Task"
"65","High",-10,2.82842712,"x09","Task"
"66","Low",-10.66666667,2.21108319,"x09","Task"
"67","High",-7.66666667,3.34995854,"x09","Task"
"68","Low",-13,1,"x09","Task"
"69","High",-8.66666667,1.49071198,"x09","Task"
"70","Low",-10.33333333,2.68741925,"x09","Task"
"71","High",-5.33333333,3.19722102,"x09","Task"
"72","High",-8.66666667,3.39934634,"x09","Task"
"73","Low",-11.33333333,1.49071198,"x09","Task"
"74","High",-16.33333333,1.37436854,"x10","Task"
"75","Low",-15.66666667,1.79505494,"x10","Task"
"76","Low",-16.66666667,1.49071198,"x10","Task"
"77","High",-17.66666667,2.13437475,"x10","Task"
"78","Low",-15.33333333,2.21108319,"x10","Task"
"79","High",-14,2.30940108,"x10","Task"
"80","Low",-15.33333333,1.49071198,"x10","Task"
"81","High",-16.33333333,2.13437475,"x10","Task"
"82","High",-14.66666667,1.49071198,"x10","Task"
"83","Low",-15.66666667,1.79505494,"x10","Task"
"84","Low",-13,1.91485422,"x10","Task"
"85","High",-13.66666667,1.79505494,"x10","Task"
"86","High",0,0,"x11","Task"
"87","Low",0,0,"x11","Task"
"88","High",0,0,"x11","Task"
"89","Low",0,0,"x11","Task"
"90","Low",-8.33333333,4.22952585,"x11","Task"
"91","High",0,0,"x11","Task"
"92","Low",0,0,"x11","Task"
"93","High",-1,1,"x11","Task"
"94","High",0,0,"x11","Task"
"95","Low",0,0,"x11","Task"
"96","High",-1.33333333,1.49071198,"x11","Task"
"97","Low",0,0,"x11","Task"
"98","Low",-10,2,"x15","Task"
"99","High",-14.33333333,2.68741925,"x15","Task"
"100","Low",-15.33333333,1.49071198,"x15","Task"
"101","High",-17,3,"x15","Task"
"102","Low",-9.66666667,4.8189441,"x15","Task"
"103","High",-16.33333333,2.13437475,"x15","Task"
"104","High",-17.66666667,2.13437475,"x15","Task"
"105","Low",-14.66666667,1.49071198,"x15","Task"
"106","Low",-14.33333333,1.37436854,"x15","Task"
"107","High",-13.33333333,2.21108319,"x15","Task"
"108","Low",-14.33333333,2.13437475,"x15","Task"
"109","High",-16.66666667,1.49071198,"x15","Task"
"110","High",-21.33333333,1.49071198,"x20","Task"
"111","Low",-20,1.63299316,"x20","Task"
"112","High",-20,1.63299316,"x20","Task"
"113","Low",-17.33333333,1.49071198,"x20","Task"
"114","Low",-18.66666667,1.49071198,"x20","Task"
"115","High",-21,1.91485422,"x20","Task"
"116","Low",-18,1.63299316,"x20","Task"
"117","High",-19.33333333,1.49071198,"x20","Task"
"118","Low",-19.33333333,1.49071198,"x20","Task"
"119","High",-20.66666667,1.49071198,"x20","Task"
"120","Low",-18.33333333,1.79505494,"x20","Task"
"121","High",-17,1,"x20","Task"
"122","High",0,0,"x23","Task"
"123","Low",0,0,"x23","Task"
"124","High",0,0,"x23","Task"
"125","Low",0,0,"x23","Task"
"126","High",0,0,"x23","Task"
"127","Low",0,0,"x23","Task"
"128","High",0,0,"x23","Task"
"129","Low",0,0,"x23","Task"
"130","High",-2.33333333,1.79505494,"x23","Task"
"131","Low",0,0,"x23","Task"
"132","High",0,0,"x23","Task"
"133","Low",0,0,"x23","Task"
"134","High",-17.33333333,1.49071198,"x27","Task"
