"","n_comp","freq","threshold","sd","subj"
"1",9,300,2.25,3.230712,"x01"
"2",9,6100,13,0,"x01"
"3",9,6100,13,0,"x01"
"4",9,300,8.875,1.125,"x01"
"5",9,300,5.375,0.71807033,"x01"
"6",9,6100,13,0,"x01"
"7",9,6100,13,0,"x01"
"8",9,300,5.125,0.71807033,"x01"
"9",9,300,-4.625,1.58607219,"x01"
"10",9,6100,13,0,"x01"
"11",9,6100,13,0,"x01"
"12",9,300,-0.125,1.58607219,"x01"
"13",9,300,0.875,2.9921773,"x02"
"14",9,6100,13,0,"x02"
"15",9,300,-2.25,0.70710678,"x02"
"16",9,6100,-1.125,3.55536566,"x02"
"17",9,6100,13,0,"x02"
"18",9,300,-2.625,3.22344924,"x02"
"19",9,6100,-2.625,2.57694102,"x02"
"20",9,300,-7.125,0.80039053,"x02"
"21",9,6100,13,0,"x02"
"22",9,300,-6.125,0.80039053,"x02"
"23",9,6100,13,0,"x02"
"24",9,300,-7,1.36930639,"x02"
"25",9,300,-10.75,2.0310096,"x07"
"26",9,6100,13,0,"x07"
"27",9,300,-8.875,1.28086885,"x07"
"28",9,6100,13,0,"x07"
"29",9,6100,13,0,"x07"
"30",9,300,-10.25,1.11803399,"x07"
"31",9,6100,13,0,"x07"
"32",9,300,-9.25,2.44948974,"x07"
"33",9,300,-10.125,1.70018381,"x07"
"34",9,6100,13,0,"x07"
"35",9,300,-8.125,0.71807033,"x07"
"36",9,6100,13,0,"x07"
"37",9,300,13,0,"x09"
"38",9,6100,13,0,"x09"
"39",9,6100,13,0,"x09"
"40",9,300,13,0,"x09"
"41",9,300,-6.875,0.5153882,"x09"
"42",9,6100,13,0,"x09"
"43",9,6100,13,0,"x09"
"44",9,300,-6.375,0.5153882,"x09"
"45",9,300,-7.25,0.55901699,"x09"
"46",9,6100,13,0,"x09"
"47",9,6100,1,4.73682383,"x09"
"48",9,300,-8.5,0.75,"x09"
"49",9,6100,13,0,"x11"
"50",9,300,-2.5,1.19895788,"x11"
"51",9,6100,13,0,"x11"
"52",9,300,-2.125,1.41972709,"x11"
"53",9,6100,13,0,"x11"
"54",9,300,0,1.47901995,"x11"
"55",9,6100,13,0,"x11"
"56",9,300,-0.5,1.27475488,"x11"
"57",9,300,0.25,0.55901699,"x11"
"58",9,6100,13,0,"x11"
"59",9,6100,13,0,"x11"
"60",9,300,-4.625,0.5153882,"x11"
"61",9,6100,-7.375,2.5890394,"x14"
"62",9,300,13,0,"x14"
"63",9,6100,13,0,"x14"
"64",9,300,13,0,"x14"
"65",9,6100,13,0,"x14"
"66",9,300,13,0,"x14"
"67",9,6100,9.54166667,0.48769583,"x14"
"68",9,300,13,0,"x14"
"69",9,300,13,0,"x14"
"70",9,6100,13,0,"x14"
"71",9,300,13,0,"x14"
"72",9,6100,13,0,"x14"
"73",9,6100,13,0,"x15"
"74",9,300,13,0,"x15"
"75",9,6100,9.625,0.375,"x15"
"76",9,300,13,0,"x15"
"77",9,300,1.625,0.375,"x15"
"78",9,6100,-4.375,2.32177195,"x15"
"79",9,6100,13,0,"x15"
"80",9,300,13,0,"x15"
"81",9,300,-4.5,1.5411035,"x15"
"82",9,6100,13,0,"x15"
"83",9,300,3.875,1.28086885,"x15"
"84",9,6100,13,0,"x15"
"85",9,6100,13,0,"x16"
"86",9,300,4.375,1.00778222,"x16"
"87",9,300,5.25,1.3462912,"x16"
"88",9,6100,13,0,"x16"
"89",9,300,1.75,1.19895788,"x16"
"90",9,6100,13,0,"x16"
"91",9,6100,13,0,"x16"
"92",9,300,4.75,0.8291562,"x16"
"93",9,300,5.125,1.25623445,"x16"
"94",9,6100,13,0,"x16"
"95",9,300,1.875,2.09538183,"x16"
"96",9,6100,13,0,"x16"
"97",9,6100,1.75,3.37268439,"x17"
"98",9,300,0.875,2.625,"x17"
"99",9,300,3.125,1.28086885,"x17"
"100",9,6100,13,0,"x17"
"101",9,6100,13,0,"x17"
"102",9,300,-2.125,2.15421099,"x17"
"103",9,300,-6.625,0.71807033,"x17"
"104",9,6100,13,0,"x17"
"105",9,6100,13,0,"x17"
"106",9,300,-4.875,0.5153882,"x17"
"107",9,300,-3.875,1.46308749,"x17"
"108",9,6100,13,0,"x17"
"109",9,6100,13,0,"x18"
"110",9,300,0.875,3.04394892,"x18"
"111",9,6100,13,0,"x18"
"112",9,300,-1,1.43614066,"x18"
