"","freq","threshold","sd","subj"
"1","1",-16.66666667,1.49071198,"p99"
"2","1",-14.66666667,1.49071198,"x01"
"3","2",-7.66666667,4.22952585,"x01"
"4","1",-14.66666667,1.88561808,"x01"
"5","2",-12.33333333,1.37436854,"x01"
"6","1",-16,1.63299316,"x01"
"7","2",-12.33333333,1.37436854,"x01"
"8","1",-16.33333333,2.13437475,"x01"
"9","2",-10.33333333,1.79505494,"x01"
"10","2",-11.33333333,2.49443826,"x01"
"11","1",-15.33333333,1.49071198,"x01"
"12","1",-15,1,"x01"
"13","2",-12,2,"x01"
"14","2",-18,1.63299316,"x02"
"15","1",-18,2,"x02"
"16","2",-19.66666667,1.79505494,"x02"
"17","1",-16.66666667,2.21108319,"x02"
"18","2",-17.66666667,2.68741925,"x02"
"19","1",-17,1.91485422,"x02"
"20","1",-17.33333333,2.49443826,"x02"
"21","2",-18.33333333,2.13437475,"x02"
"22","1",-16.33333333,1.37436854,"x02"
"23","2",-18.33333333,2.68741925,"x02"
"24","2",-19.66666667,2.13437475,"x02"
"25","1",-17.33333333,1.49071198,"x02"
"26","1",-9,1.91485422,"x06"
"27","2",0,0,"x06"
"28","2",-2.66666667,1.49071198,"x06"
"29","1",-2.33333333,1.37436854,"x06"
"30","2",0,0,"x06"
"31","1",-3.33333333,2.49443826,"x06"
"32","1",-11.33333333,1.49071198,"x06"
"33","2",-2.66666667,2.74873708,"x06"
"34","1",-1.33333333,1.49071198,"x06"
"35","2",0,0,"x06"
"36","2",0,0,"x06"
"37","1",-6.66666667,3.39934634,"x06"
"38","1",-1.33333333,1.49071198,"x07"
"39","2",0,0,"x07"
"40","2",0,0,"x07"
"41","1",-9,2.23606798,"x07"
"42","2",0,0,"x07"
"43","1",-7.33333333,1.49071198,"x07"
"44","1",-5.66666667,3.14466038,"x07"
"45","2",-1.33333333,1.49071198,"x07"
"46","1",-3.33333333,2.49443826,"x07"
"47","2",-1.33333333,1.49071198,"x07"
"48","1",-5.33333333,3.19722102,"x07"
"49","2",0,0,"x07"
"50","2",-14.33333333,2.13437475,"x08"
"51","1",-14,2,"x08"
"52","1",-11.33333333,2.98142397,"x08"
"53","2",-11,2.76887462,"x08"
"54","2",-6.66666667,1.49071198,"x08"
"55","1",-9.33333333,2.21108319,"x08"
"56","1",-10,3.82970843,"x08"
"57","2",-9,1,"x08"
"58","1",-12,1.63299316,"x08"
"59","2",-12,1.63299316,"x08"
"60","2",-8.33333333,2.13437475,"x08"
"61","1",-12,2,"x08"
"62","1",-14,1.63299316,"x09"
"63","2",-12.66666667,2.98142397,"x09"
"64","1",-13.66666667,2.68741925,"x09"
"65","2",-10,2.82842712,"x09"
"66","1",-10.66666667,2.21108319,"x09"
"67","2",-7.66666667,3.34995854,"x09"
"68","1",-13,1,"x09"
"69","2",-8.66666667,1.49071198,"x09"
"70","1",-10.33333333,2.68741925,"x09"
"71","2",-5.33333333,3.19722102,"x09"
"72","2",-8.66666667,3.39934634,"x09"
"73","1",-11.33333333,1.49071198,"x09"
"74","2",-16.33333333,1.37436854,"x10"
"75","1",-15.66666667,1.79505494,"x10"
"76","1",-16.66666667,1.49071198,"x10"
"77","2",-17.66666667,2.13437475,"x10"
"78","1",-15.33333333,2.21108319,"x10"
"79","2",-14,2.30940108,"x10"
"80","1",-15.33333333,1.49071198,"x10"
"81","2",-16.33333333,2.13437475,"x10"
"82","2",-14.66666667,1.49071198,"x10"
"83","1",-15.66666667,1.79505494,"x10"
"84","1",-13,1.91485422,"x10"
"85","2",-13.66666667,1.79505494,"x10"
"86","2",0,0,"x11"
"87","1",0,0,"x11"
"88","2",0,0,"x11"
"89","1",0,0,"x11"
"90","1",-8.33333333,4.22952585,"x11"
"91","2",0,0,"x11"
"92","1",0,0,"x11"
"93","2",-1,1,"x11"
"94","2",0,0,"x11"
"95","1",0,0,"x11"
"96","2",-1.33333333,1.49071198,"x11"
"97","1",0,0,"x11"
"98","1",-10,2,"x15"
"99","2",-14.33333333,2.68741925,"x15"
"100","1",-15.33333333,1.49071198,"x15"
"101","2",-17,3,"x15"
"102","1",-9.66666667,4.8189441,"x15"
"103","2",-16.33333333,2.13437475,"x15"
"104","2",-17.66666667,2.13437475,"x15"
"105","1",-14.66666667,1.49071198,"x15"
"106","1",-14.33333333,1.37436854,"x15"
"107","2",-13.33333333,2.21108319,"x15"
"108","1",-14.33333333,2.13437475,"x15"
"109","2",-16.66666667,1.49071198,"x15"
"110","2",-21.33333333,1.49071198,"x20"
"111","1",-20,1.63299316,"x20"
"112","2",-20,1.63299316,"x20"
"113","1",-17.33333333,1.49071198,"x20"
"114","1",-18.66666667,1.49071198,"x20"
"115","2",-21,1.91485422,"x20"
"116","1",-18,1.63299316,"x20"
"117","2",-19.33333333,1.49071198,"x20"
"118","1",-19.33333333,1.49071198,"x20"
"119","2",-20.66666667,1.49071198,"x20"
"120","1",-18.33333333,1.79505494,"x20"
"121","2",-17,1,"x20"
"122","2",0,0,"x23"
"123","1",0,0,"x23"
"124","2",0,0,"x23"
"125","1",0,0,"x23"
"126","2",0,0,"x23"
"127","1",0,0,"x23"
"128","2",0,0,"x23"
"129","1",0,0,"x23"
"130","2",-2.33333333,1.79505494,"x23"
"131","1",0,0,"x23"
"132","2",0,0,"x23"
"133","1",0,0,"x23"
"134","2",-17.33333333,1.49071198,"x27"
"135","1",-17,2.23606798,"x27"
"136","2",-16.66666667,1.49071198,"x27"
"137","1",-17,1,"x27"
"138","1",-15.66666667,1.79505494,"x27"
"139","2",-15,1.91485422,"x27"
"140","1",-16,1.63299316,"x27"
"141","2",-15.33333333,1.49071198,"x27"
"142","2",-14.66666667,2.21108319,"x27"
"143","1",-16.66666667,1.88561808,"x27"
"144","1",-17,1,"x27"
"145","2",-15.33333333,1.49071198,"x27"
