"","freq","threshold","sd","subj"
"1","1",-14,1.63299316,"x23"
"2","2",-18.66666667,1.49071198,"x23"
"3","1",-14.66666667,2.49443826,"x23"
"4","2",-18.66666667,4.10960934,"x23"
"5","2",-15.66666667,3.14466038,"x23"
"6","1",-13.33333333,1.49071198,"x23"
"7","1",-10.33333333,3.14466038,"x23"
"8","2",-10.66666667,4.85340659,"x23"
"9","2",-16,2.30940108,"x23"
"10","1",-13,3.41565026,"x23"
"11","2",-19,1.91485422,"x23"
"12","1",-15,1,"x23"
"13","1",-14,2.5819889,"x01"
"14","2",-18.66666667,2.21108319,"x01"
"15","2",-20.66666667,1.49071198,"x01"
"16","1",-15.33333333,2.21108319,"x01"
"17","2",-19,1,"x01"
"18","1",-15.33333333,2.21108319,"x01"
"19","1",-15,2.76887462,"x01"
"20","2",-19,1.91485422,"x01"
"21","2",-21,2.51661148,"x01"
"22","1",-15.33333333,1.49071198,"x01"
"23","2",-18,1.63299316,"x01"
"24","1",-16.33333333,1.37436854,"x01"
"25","2",-21,2.51661148,"x02"
"26","1",-20.33333333,1.37436854,"x02"
"27","2",-22.33333333,2.92498813,"x02"
"28","1",-20.33333333,1.79505494,"x02"
"29","1",-19.66666667,1.79505494,"x02"
"30","2",-22.33333333,1.79505494,"x02"
"31","1",-21.66666667,2.13437475,"x02"
"32","2",-23.66666667,2.13437475,"x02"
"33","2",-26,2.5819889,"x02"
"34","1",-20,2.5819889,"x02"
"35","1",-15.66666667,3.54338194,"x02"
"36","2",-21,2.51661148,"x02"
"37","1",-17.33333333,3.19722102,"x06"
"38","2",-17.33333333,4.10960934,"x06"
"39","1",-18,1.63299316,"x06"
"40","2",-18.33333333,2.13437475,"x06"
"41","2",-19.33333333,1.49071198,"x06"
"42","1",-17.33333333,1.49071198,"x06"
"43","2",-13.33333333,2.21108319,"x06"
"44","1",-15.66666667,2.13437475,"x06"
"45","2",-16,4.3204938,"x06"
"46","1",-20,1.63299316,"x06"
"47","1",-15.66666667,1.37436854,"x06"
"48","2",-6.66666667,1.49071198,"x06"
"49","1",-17.66666667,1.37436854,"x07"
"50","2",-15,1,"x07"
"51","1",-15,1.91485422,"x07"
"52","2",-17.33333333,2.21108319,"x07"
"53","2",-19,2.51661148,"x07"
"54","1",-18,1.63299316,"x07"
"55","1",-17,1.91485422,"x07"
"56","2",-18,2.30940108,"x07"
"57","2",-17,2.76887462,"x07"
"58","1",-17.66666667,2.13437475,"x07"
"59","2",-17.33333333,2.21108319,"x07"
"60","1",-16.33333333,2.13437475,"x07"
"61","1",-16.66666667,2.49443826,"x08"
"62","2",-19,1.91485422,"x08"
"63","2",-15,1.91485422,"x08"
"64","1",-18.33333333,2.68741925,"x08"
"65","2",-18,1.63299316,"x08"
"66","1",-14.66666667,3.77123617,"x08"
"67","1",-11.66666667,1.37436854,"x08"
"68","2",-16.33333333,2.92498813,"x08"
"69","1",-17.66666667,2.13437475,"x08"
"70","2",-18.66666667,2.21108319,"x08"
"71","1",-16,2.5819889,"x08"
"72","2",-17.33333333,1.49071198,"x08"
"73","1",-14,3.46410162,"x09"
"74","2",-18,3.46410162,"x09"
"75","2",-17,2.51661148,"x09"
"76","1",-16.66666667,2.21108319,"x09"
"77","1",-17,2.51661148,"x09"
"78","2",-14.33333333,2.13437475,"x09"
"79","1",-15.66666667,2.4267033,"x09"
"80","2",-17.33333333,1.49071198,"x09"
"81","2",-15,1.91485422,"x09"
"82","1",-16.33333333,2.13437475,"x09"
"83","2",-17.66666667,2.13437475,"x09"
"84","1",-15.66666667,2.13437475,"x09"
"85","2",-22.66666667,1.49071198,"x10"
"86","1",-18.66666667,1.49071198,"x10"
"87","1",-19,2.51661148,"x10"
"88","2",-22.33333333,1.37436854,"x10"
"89","2",-22.66666667,1.49071198,"x10"
"90","1",-20.33333333,1.79505494,"x10"
"91","1",-19,1.91485422,"x10"
"92","2",-20.33333333,1.79505494,"x10"
"93","2",-22.33333333,1.79505494,"x10"
"94","1",-19.66666667,2.13437475,"x10"
"95","2",-20.66666667,1.49071198,"x10"
"96","1",-19.33333333,1.49071198,"x10"
"97","1",-18.33333333,1.37436854,"x11"
"98","2",-20.33333333,3.54338194,"x11"
"99","2",-16,4.47213595,"x11"
