"","n_comp","freq","threshold","sd","subj","task"
"1",9,"High",7.125,1.00778222,"x01","Control"
"2",9,"Low",-3.375,4.61146669,"x01","Control"
"3",9,"Low",-2.75,2.27760839,"x01","Control"
"4",9,"High",1,4.14578099,"x01","Control"
"5",9,"High",13,0,"x01","Control"
"6",9,"Low",-3.625,1.125,"x01","Control"
"7",9,"High",13,0,"x01","Control"
"8",9,"Low",-9,1.5411035,"x01","Control"
"9",9,"Low",-10.75,0.75,"x01","Control"
"10",9,"High",5,0.8660254,"x01","Control"
"11",9,"High",-2.125,0.71807033,"x01","Control"
"12",9,"Low",-5.875,4.25918126,"x01","Control"
"13",9,"Low",4.125,0.80039053,"x02","Control"
"14",9,"High",13,0,"x02","Control"
"15",9,"High",13,0,"x02","Control"
"16",9,"Low",-7.625,0.91001374,"x02","Control"
"17",9,"Low",-5.5,0.61237244,"x02","Control"
"18",9,"High",8.25,2.01556444,"x02","Control"
"19",9,"High",13,0,"x02","Control"
"20",9,"Low",-4.375,0.375,"x02","Control"
"21",9,"High",3.20833333,5.31392955,"x02","Control"
"22",9,"Low",-6.625,1.28086885,"x02","Control"
"23",9,"Low",-3.875,3.83446541,"x02","Control"
"24",9,"High",-1,0.61237244,"x02","Control"
"25",9,"Low",-5.625,1.00778222,"x07","Control"
"26",9,"High",-2.625,1.70018381,"x07","Control"
"27",9,"Low",-8.375,0.5153882,"x07","Control"
"28",9,"High",3.875,1.60565407,"x07","Control"
"29",9,"Low",-6.25,0.96824584,"x07","Control"
"30",9,"High",9.625,0.375,"x07","Control"
"31",9,"Low",-8.875,0.71807033,"x07","Control"
"32",9,"High",-0.5,1.5411035,"x07","Control"
"33",9,"Low",-10,1.43614066,"x07","Control"
"34",9,"High",9.625,0.375,"x07","Control"
"35",9,"Low",-10,1.14564392,"x07","Control"
"36",9,"High",13,0,"x07","Control"
"37",9,"Low",-2.125,0.9437293,"x09","Control"
"38",9,"High",13,0,"x09","Control"
"39",9,"Low",-13.125,1.17924764,"x09","Control"
"40",9,"High",7.75,2.06155281,"x09","Control"
"41",9,"High",13,0,"x09","Control"
"42",9,"Low",-11.75,0.55901699,"x09","Control"
"43",9,"Low",-11.75,0.55901699,"x09","Control"
"44",9,"High",3.625,2.57694102,"x09","Control"
"45",9,"Low",-11.75,1.76776695,"x09","Control"
"46",9,"High",13,0,"x09","Control"
"47",9,"High",-1.625,2.7866871,"x09","Control"
"48",9,"Low",-12.5,1.87082869,"x09","Control"
"49",9,"High",13,0,"x14","Control"
"50",9,"Low",5,1.67705098,"x14","Control"
"51",9,"High",6.58333333,4.47601633,"x14","Control"
"52",9,"Low",-2.5,0.96824584,"x14","Control"
"53",9,"Low",-0.25,0.61237244,"x14","Control"
"54",9,"High",-2,5.52268051,"x14","Control"
"55",9,"Low",-2.125,1.66301684,"x14","Control"
"56",9,"High",7.75,1.29903811,"x14","Control"
"57",9,"Low",-1.625,2.00390244,"x14","Control"
"58",9,"High",13,0,"x14","Control"
"59",9,"Low",-1.25,1.82002747,"x14","Control"
"60",9,"High",9,0.55901699,"x14","Control"
"61",9,"High",1.875,3.60771742,"x15","Control"
"62",9,"Low",1.25,5.04975247,"x15","Control"
"63",9,"Low",8.875,0.5153882,"x15","Control"
"64",9,"High",13,0,"x15","Control"
"65",9,"High",13,0,"x15","Control"
"66",9,"Low",7,0.8291562,"x15","Control"
"67",9,"Low",-3.125,2.05015243,"x15","Control"
"68",9,"High",13,0,"x15","Control"
"69",9,"Low",-3.625,2.47802845,"x15","Control"
"70",9,"High",13,0,"x15","Control"
"71",9,"High",13,0,"x15","Control"
"72",9,"Low",-7.375,1.125,"x15","Control"
"73",9,"Low",13,0,"x16","Control"
"74",9,"High",13,0,"x16","Control"
"75",9,"Low",6.375,0.6731456,"x16","Control"
"76",9,"High",1.125,3.39346799,"x16","Control"
"77",9,"High",13,0,"x16","Control"
"78",9,"Low",1.25,2.44948974,"x16","Control"
"79",9,"Low",0.25,0.55901699,"x16","Control"
"80",9,"High",13,0,"x16","Control"
"81",9,"High",13,0,"x16","Control"
"82",9,"Low",4.25,0.75,"x16","Control"
"83",9,"Low",-3.625,1.28086885,"x16","Control"
"84",9,"High",13,0,"x16","Control"
"85",9,"High",7.25,1.41421356,"x17","Control"
"86",9,"Low",7.875,1.95655948,"x17","Control"
"87",9,"Low",7.375,2.76416805,"x17","Control"
"88",9,"High",13,0,"x17","Control"
"89",9,"Low",-2.375,0.80039053,"x17","Control"
"90",9,"High",-0.125,3.22344924,"x17","Control"
"91",9,"High",13,0,"x17","Control"
"92",9,"Low",-3.375,1.80710404,"x17","Control"
"93",9,"High",13,0,"x17","Control"
"94",9,"Low",-2.625,2.64870251,"x17","Control"
"95",9,"Low",-3,1.96850197,"x17","Control"
"96",9,"High",4.375,2.34853678,"x17","Control"
"97",9,"Low",2.25,3.230712,"x01","Task"
"98",9,"High",13,0,"x01","Task"
"99",9,"High",13,0,"x01","Task"
"100",9,"Low",8.875,1.125,"x01","Task"
"101",9,"Low",5.375,0.71807033,"x01","Task"
"102",9,"High",13,0,"x01","Task"
"103",9,"High",13,0,"x01","Task"
"104",9,"Low",5.125,0.71807033,"x01","Task"
"105",9,"Low",-4.625,1.58607219,"x01","Task"
"106",9,"High",13,0,"x01","Task"
"107",9,"High",13,0,"x01","Task"
"108",9,"Low",-0.125,1.58607219,"x01","Task"
"109",9,"Low",0.875,2.9921773,"x02","Task"
"110",9,"High",13,0,"x02","Task"
"111",9,"Low",-2.25,0.70710678,"x02","Task"
"112",9,"High",-1.125,3.55536566,"x02","Task"
"113",9,"High",13,0,"x02","Task"
"114",9,"Low",-2.625,3.22344924,"x02","Task"
"115",9,"High",-2.625,2.57694102,"x02","Task"
"116",9,"Low",-7.125,0.80039053,"x02","Task"
"117",9,"High",13,0,"x02","Task"
"118",9,"Low",-6.125,0.80039053,"x02","Task"
"119",9,"High",13,0,"x02","Task"
"120",9,"Low",-7,1.36930639,"x02","Task"
"121",9,"Low",-10.75,2.0310096,"x07","Task"
"122",9,"High",13,0,"x07","Task"
"123",9,"Low",-8.875,1.28086885,"x07","Task"
"124",9,"High",13,0,"x07","Task"
"125",9,"High",13,0,"x07","Task"
"126",9,"Low",-10.25,1.11803399,"x07","Task"
"127",9,"High",13,0,"x07","Task"
"128",9,"Low",-9.25,2.44948974,"x07","Task"
"129",9,"Low",-10.125,1.70018381,"x07","Task"
"130",9,"High",13,0,"x07","Task"
"131",9,"Low",-8.125,0.71807033,"x07","Task"
"132",9,"High",13,0,"x07","Task"
"133",9,"Low",13,0,"x09","Task"
"134",9,"High",13,0,"x09","Task"
"135",9,"High",13,0,"x09","Task"
"136",9,"Low",13,0,"x09","Task"
"137",9,"Low",-6.875,0.5153882,"x09","Task"
"138",9,"High",13,0,"x09","Task"
"139",9,"High",13,0,"x09","Task"
"140",9,"Low",-6.375,0.5153882,"x09","Task"
"141",9,"Low",-7.25,0.55901699,"x09","Task"
"142",9,"High",13,0,"x09","Task"
"143",9,"High",1,4.73682383,"x09","Task"
"144",9,"Low",-8.5,0.75,"x09","Task"
"145",9,"High",-7.375,2.5890394,"x14","Task"
"146",9,"Low",13,0,"x14","Task"
"147",9,"High",13,0,"x14","Task"
"148",9,"Low",13,0,"x14","Task"
"149",9,"High",13,0,"x14","Task"
"150",9,"Low",13,0,"x14","Task"
"151",9,"High",9.54166667,0.48769583,"x14","Task"
"152",9,"Low",13,0,"x14","Task"
"153",9,"Low",13,0,"x14","Task"
"154",9,"High",13,0,"x14","Task"
"155",9,"Low",13,0,"x14","Task"
"156",9,"High",13,0,"x14","Task"
"157",9,"High",13,0,"x15","Task"
"158",9,"Low",13,0,"x15","Task"
"159",9,"High",9.625,0.375,"x15","Task"
"160",9,"Low",13,0,"x15","Task"
"161",9,"Low",1.625,0.375,"x15","Task"
"162",9,"High",-4.375,2.32177195,"x15","Task"
"163",9,"High",13,0,"x15","Task"
"164",9,"Low",13,0,"x15","Task"
"165",9,"Low",-4.5,1.5411035,"x15","Task"
