Column1,n_comp,freq,threshold,sd,subj,task,order,run
8,9,Low,-9.0,1.5411035,x01,Control,2,4
9,9,Low,-10.75,0.75,x01,Control,2,5
12,9,Low,-5.875,4.25918126,x01,Control,2,6
7,9,High,13.0,0.0,x01,Control,2,4
10,9,High,5.0,0.8660254,x01,Control,2,5
11,9,High,-2.125,0.71807033,x01,Control,2,6
20,9,Low,-4.375,0.375,x02,Control,1,4
22,9,Low,-6.625,1.28086885,x02,Control,1,5
23,9,Low,-3.875,3.83446541,x02,Control,1,6
19,9,High,13.0,0.0,x02,Control,1,4
21,9,High,3.20833333,5.31392955,x02,Control,1,5
24,9,High,-1.0,0.61237244,x02,Control,1,6
31,9,Low,-8.875,0.71807033,x07,Control,2,4
33,9,Low,-10.0,1.43614066,x07,Control,2,5
35,9,Low,-10.0,1.14564392,x07,Control,2,6
32,9,High,-0.5,1.5411035,x07,Control,2,4
34,9,High,9.625,0.375,x07,Control,2,5
36,9,High,13.0,0.0,x07,Control,2,6
43,9,Low,-11.75,0.55901699,x09,Control,2,4
45,9,Low,-11.75,1.76776695,x09,Control,2,5
48,9,Low,-12.5,1.87082869,x09,Control,2,6
44,9,High,3.625,2.57694102,x09,Control,2,4
46,9,High,13.0,0.0,x09,Control,2,5
47,9,High,-1.625,2.7866871,x09,Control,2,6
56,9,Low,-12.25,1.36930639,x11,Control,2,4
57,9,Low,-10.125,2.00390244,x11,Control,2,5
59,9,Low,-8.0,0.93541435,x11,Control,2,6
55,9,High,13.0,0.0,x11,Control,2,4
58,9,High,0.75,1.71391365,x11,Control,2,5
60,9,High,-5.125,0.9437293,x11,Control,2,6
67,9,Low,-2.125,1.66301684,x14,Control,2,4
69,9,Low,-1.625,2.00390244,x14,Control,2,5
71,9,Low,-1.25,1.82002747,x14,Control,2,6
68,9,High,7.75,1.29903811,x14,Control,2,4
70,9,High,13.0,0.0,x14,Control,2,5
72,9,High,9.0,0.55901699,x14,Control,2,6
79,9,Low,-3.125,2.05015243,x15,Control,1,4
81,9,Low,-3.625,2.47802845,x15,Control,1,5
84,9,Low,-7.375,1.125,x15,Control,1,6
80,9,High,13.0,0.0,x15,Control,1,4
82,9,High,13.0,0.0,x15,Control,1,5
83,9,High,13.0,0.0,x15,Control,1,6
91,9,Low,0.25,0.55901699,x16,Control,1,4
94,9,Low,4.25,0.75,x16,Control,1,5
95,9,Low,-3.625,1.28086885,x16,Control,1,6
92,9,High,13.0,0.0,x16,Control,1,4
93,9,High,13.0,0.0,x16,Control,1,5
96,9,High,13.0,0.0,x16,Control,1,6
104,9,Low,-3.375,1.80710404,x17,Control,1,4
106,9,Low,-2.625,2.64870251,x17,Control,1,5
107,9,Low,-3.0,1.96850197,x17,Control,1,6
103,9,High,13.0,0.0,x17,Control,1,4
105,9,High,13.0,0.0,x17,Control,1,5
108,9,High,4.375,2.34853678,x17,Control,1,6
139,9,Low,5.625,2.64870251,x25,Control,2,4
142,9,Low,3.375,1.32876823,x25,Control,2,5
144,9,Low,2.75,0.8660254,x25,Control,2,6
140,9,High,13.0,0.0,x25,Control,2,4
141,9,High,8.625,1.17924764,x25,Control,2,5
143,9,High,13.0,0.0,x25,Control,2,6
151,9,Low,-3.125,2.05015243,x28,Control,1,4
153,9,Low,-8.375,2.00390244,x28,Control,1,5
155,9,Low,-10.875,1.52581945,x28,Control,1,6
152,9,High,9.16666667,1.01721297,x28,Control,1,4
154,9,High,13.0,0.0,x28,Control,1,5
156,9,High,13.0,0.0,x28,Control,1,6
164,9,Low,-6.125,1.80710404,x29,Control,2,4
165,9,Low,-5.0,0.55901699,x29,Control,2,5
168,9,Low,-6.0,0.55901699,x29,Control,2,6
163,9,High,6.83333333,1.69353345,x29,Control,2,4
166,9,High,3.25,2.62202212,x29,Control,2,5
167,9,High,4.375,1.80710404,x29,Control,2,6
175,9,Low,5.0,1.78535711,x32,Control,2,4
178,9,Low,5.25,1.11803399,x32,Control,2,5
179,9,Low,2.375,1.125,x32,Control,2,6
176,9,High,13.0,0.0,x32,Control,2,4
177,9,High,13.0,0.0,x32,Control,2,5
180,9,High,13.0,0.0,x32,Control,2,6
188,9,Low,8.875,0.71807033,x33,Control,1,4
189,9,Low,-3.25,1.62018517,x33,Control,1,5
191,9,Low,3.25,1.6583124,x33,Control,1,6
187,9,High,3.0,2.6925824,x33,Control,1,4
190,9,High,5.25,1.3462912,x33,Control,1,5
192,9,High,13.0,0.0,x33,Control,1,6
200,9,Low,-0.25,3.92109679,x34,Control,1,4
201,9,Low,0.75,0.55901699,x34,Control,1,5
203,9,Low,-5.75,1.6583124,x34,Control,1,6
199,9,High,13.0,0.0,x34,Control,1,4
202,9,High,2.375,2.23955911,x34,Control,1,5
204,9,High,6.125,1.66301684,x34,Control,1,6
211,9,Low,-4.625,0.5153882,x35,Control,1,4
214,9,Low,-0.5,1.03077641,x35,Control,1,5
216,9,Low,-2.375,1.09687055,x35,Control,1,6
212,9,High,-3.125,0.80039053,x35,Control,1,4
213,9,High,-3.5,0.93541435,x35,Control,1,5
215,9,High,1.0,1.11803399,x35,Control,1,6
223,9,Low,2.75,1.67705098,x37,Control,2,4
226,9,Low,6.125,0.9437293,x37,Control,2,5
227,9,Low,-1.5,0.70710678,x37,Control,2,6
224,9,High,13.0,0.0,x37,Control,2,4
225,9,High,13.0,0.0,x37,Control,2,5
228,9,High,13.0,0.0,x37,Control,2,6
235,9,Low,-3.125,1.17924764,x38,Control,1,4
237,9,Low,-2.125,0.71807033,x38,Control,1,5
239,9,Low,-2.625,0.80039053,x38,Control,1,6
236,9,High,-2.875,1.875,x38,Control,1,4
238,9,High,0.0,1.6583124,x38,Control,1,5
240,9,High,-3.375,1.17924764,x38,Control,1,6
248,9,Low,-0.75,0.55901699,x39,Control,1,4
250,9,Low,-3.5,3.69120577,x39,Control,1,5
251,9,Low,-2.75,2.54950976,x39,Control,1,6
247,9,High,-1.75,2.07665597,x39,Control,1,4
249,9,High,4.75,4.69041576,x39,Control,1,5
252,9,High,9.375,0.6731456,x39,Control,1,6
260,9,Low,5.125,0.71807033,x01,Task,2,4
261,9,Low,-4.625,1.58607219,x01,Task,2,5
264,9,Low,-0.125,1.58607219,x01,Task,2,6
259,9,High,13.0,0.0,x01,Task,2,4
262,9,High,13.0,0.0,x01,Task,2,5
263,9,High,13.0,0.0,x01,Task,2,6
272,9,Low,-7.125,0.80039053,x02,Task,1,4
274,9,Low,-6.125,0.80039053,x02,Task,1,5
276,9,Low,-7.0,1.36930639,x02,Task,1,6
271,9,High,-2.625,2.57694102,x02,Task,1,4
273,9,High,13.0,0.0,x02,Task,1,5
275,9,High,13.0,0.0,x02,Task,1,6
284,9,Low,-9.25,2.44948974,x07,Task,2,4
285,9,Low,-10.125,1.70018381,x07,Task,2,5
287,9,Low,-8.125,0.71807033,x07,Task,2,6
283,9,High,13.0,0.0,x07,Task,2,4
286,9,High,13.0,0.0,x07,Task,2,5
288,9,High,13.0,0.0,x07,Task,2,6
296,9,Low,-6.375,0.5153882,x09,Task,2,4
297,9,Low,-7.25,0.55901699,x09,Task,2,5
300,9,Low,-8.5,0.75,x09,Task,2,6
295,9,High,13.0,0.0,x09,Task,2,4
298,9,High,13.0,0.0,x09,Task,2,5
299,9,High,1.0,4.73682383,x09,Task,2,6
308,9,Low,-0.5,1.27475488,x11,Task,2,4
309,9,Low,0.25,0.55901699,x11,Task,2,5
312,9,Low,-4.625,0.5153882,x11,Task,2,6
307,9,High,13.0,0.0,x11,Task,2,4
310,9,High,13.0,0.0,x11,Task,2,5
311,9,High,13.0,0.0,x11,Task,2,6
320,9,Low,13.0,0.0,x14,Task,2,4
321,9,Low,13.0,0.0,x14,Task,2,5
323,9,Low,13.0,0.0,x14,Task,2,6
319,9,High,9.54166667,0.48769583,x14,Task,2,4
322,9,High,13.0,0.0,x14,Task,2,5
324,9,High,13.0,0.0,x14,Task,2,6
332,9,Low,13.0,0.0,x15,Task,1,4
333,9,Low,-4.5,1.5411035,x15,Task,1,5
335,9,Low,3.875,1.28086885,x15,Task,1,6
331,9,High,13.0,0.0,x15,Task,1,4
334,9,High,13.0,0.0,x15,Task,1,5
336,9,High,13.0,0.0,x15,Task,1,6
344,9,Low,4.75,0.8291562,x16,Task,1,4
345,9,Low,5.125,1.25623445,x16,Task,1,5
347,9,Low,1.875,2.09538183,x16,Task,1,6
343,9,High,13.0,0.0,x16,Task,1,4
346,9,High,13.0,0.0,x16,Task,1,5
348,9,High,13.0,0.0,x16,Task,1,6
355,9,Low,-6.625,0.71807033,x17,Task,1,4
358,9,Low,-4.875,0.5153882,x17,Task,1,5
359,9,Low,-3.875,1.46308749,x17,Task,1,6
356,9,High,13.0,0.0,x17,Task,1,4
357,9,High,13.0,0.0,x17,Task,1,5
360,9,High,13.0,0.0,x17,Task,1,6
392,9,Low,9.0,0.93541435,x25,Task,2,4
393,9,Low,13.0,0.0,x25,Task,2,5
395,9,Low,13.0,0.0,x25,Task,2,6
391,9,High,13.0,0.0,x25,Task,2,4
394,9,High,13.0,0.0,x25,Task,2,5
396,9,High,13.0,0.0,x25,Task,2,6
403,9,Low,-5.375,0.80039053,x28,Task,1,4
405,9,Low,-7.375,0.375,x28,Task,1,5
408,9,Low,-6.875,2.00390244,x28,Task,1,6
404,9,High,2.875,4.69208109,x28,Task,1,4
406,9,High,7.75,0.55901699,x28,Task,1,5
407,9,High,13.0,0.0,x28,Task,1,6
415,9,Low,-0.5,2.35849528,x29,Task,2,4
417,9,Low,-4.25,2.65753645,x29,Task,2,5
419,9,Low,-0.75,1.47901995,x29,Task,2,6
416,9,High,13.0,0.0,x29,Task,2,4
418,9,High,13.0,0.0,x29,Task,2,5
420,9,High,13.0,0.0,x29,Task,2,6
428,9,Low,9.625,0.375,x32,Task,2,4
429,9,Low,13.0,0.0,x32,Task,2,5
431,9,Low,4.375,5.39820572,x32,Task,2,6
427,9,High,13.0,0.0,x32,Task,2,4
430,9,High,9.125,0.9437293,x32,Task,2,5
432,9,High,13.0,0.0,x32,Task,2,6
440,9,Low,13.0,0.0,x33,Task,1,4
441,9,Low,13.0,0.0,x33,Task,1,5
443,9,Low,13.0,0.0,x33,Task,1,6
439,9,High,13.0,0.0,x33,Task,1,4
442,9,High,13.0,0.0,x33,Task,1,5
444,9,High,13.0,0.0,x33,Task,1,6
451,9,Low,-9.625,0.375,x34,Task,1,4
454,9,Low,-10.875,0.5153882,x34,Task,1,5
456,9,Low,-9.625,0.9437293,x34,Task,1,6
452,9,High,8.5,0.55901699,x34,Task,1,4
453,9,High,1.0,0.93541435,x34,Task,1,5
455,9,High,13.0,0.0,x34,Task,1,6
476,9,Low,-0.875,1.00778222,x37,Task,2,4
477,9,Low,-3.375,1.58607219,x37,Task,2,5
480,9,Low,-2.75,1.03077641,x37,Task,2,6
475,9,High,-1.0,0.61237244,x37,Task,2,4
478,9,High,13.0,0.0,x37,Task,2,5
479,9,High,13.0,0.0,x37,Task,2,6
488,9,Low,0.25,0.75,x39,Task,1,4
490,9,Low,1.5,1.6583124,x39,Task,1,5
492,9,Low,-3.375,1.25623445,x39,Task,1,6
487,9,High,13.0,0.0,x39,Task,1,4
489,9,High,13.0,0.0,x39,Task,1,5
491,9,High,6.75,3.51781182,x39,Task,1,6
464,9,Low,7.75,2.31840462,x36,Task,2,4
466,9,Low,13.0,0.0,x36,Task,2,5
468,9,Low,2.5,5.06211418,x36,Task,2,6
463,9,High,13.0,0.0,x36,Task,2,4
465,9,High,13.0,0.0,x36,Task,2,5
467,9,High,13.0,0.0,x36,Task,2,6
