Column1,n_comp,freq,threshold,sd,subj,task,run
107,1,Low,-6.875,1.00778222,x32,Control,7
115,1,Low,-10.5,1.3462912,x32,Control,8
122,1,Low,-6.25,0.75,x32,Control,9
136,1,Low,-13.125,0.80039053,x32,Control,10
146,1,Low,-10.375,0.71807033,x32,Control,11
155,1,Low,-11.75,1.11803399,x32,Control,12
104,1,High,-2.125,0.71807033,x32,Control,7
114,1,High,-2.0,2.89395923,x32,Control,8
127,1,High,-3.25,1.29903811,x32,Control,9
131,1,High,-2.875,1.28086885,x32,Control,10
150,1,High,0.375,1.46308749,x32,Control,11
154,1,High,-2.625,1.39754249,x32,Control,12
229,1,Low,-17.75,0.70710678,x34,Control,7
240,1,Low,-12.0,1.11803399,x34,Control,8
242,1,Low,-16.625,2.18303115,x34,Control,9
251,1,Low,-12.875,2.34853678,x34,Control,10
264,1,Low,-12.125,0.80039053,x34,Control,11
274,1,Low,-15.25,0.61237244,x34,Control,12
221,1,High,-5.75,1.6583124,x34,Control,7
232,1,High,-9.125,0.5153882,x34,Control,8
241,1,High,-6.875,0.6731456,x34,Control,9
255,1,High,-5.625,0.80039053,x34,Control,10
265,1,High,-8.875,1.66301684,x34,Control,11
276,1,High,-8.5,1.06066017,x34,Control,12
342,1,Low,-13.125,1.32876823,x40,Control,7
355,1,Low,-20.25,0.93541435,x40,Control,8
369,1,Low,-21.875,1.70018381,x40,Control,9
377,1,Low,-19.875,1.17924764,x40,Control,10
389,1,Low,-19.5,1.3462912,x40,Control,11
392,1,Low,-20.0,1.41421356,x40,Control,12
345,1,High,-8.25,1.47901995,x40,Control,7
353,1,High,-8.125,0.9437293,x40,Control,8
368,1,High,-7.25,0.93541435,x40,Control,9
374,1,High,-10.125,1.00778222,x40,Control,10
383,1,High,-5.375,1.32876823,x40,Control,11
399,1,High,-7.875,2.00390244,x40,Control,12
465,1,Low,-11.75,0.93541435,x45,Control,7
479,1,Low,-12.375,1.00778222,x45,Control,8
489,1,Low,-9.5,0.70710678,x45,Control,9
498,1,Low,-9.875,0.80039053,x45,Control,10
501,1,Low,-8.75,0.55901699,x45,Control,11
513,1,Low,-8.0,0.8291562,x45,Control,12
463,1,High,-11.25,0.93541435,x45,Control,7
476,1,High,-10.375,1.66301684,x45,Control,8
484,1,High,-4.375,2.47802845,x45,Control,9
496,1,High,-7.0,1.98431348,x45,Control,10
510,1,High,-3.25,1.29903811,x45,Control,11
515,1,High,-2.375,1.58607219,x45,Control,12
590,1,Low,-9.875,1.90804219,x46,Control,7
596,1,Low,-17.125,0.71807033,x46,Control,8
606,1,Low,-13.0,1.36930639,x46,Control,9
617,1,Low,-13.125,0.80039053,x46,Control,10
623,1,Low,-9.125,0.80039053,x46,Control,11
640,1,Low,-14.75,1.03077641,x46,Control,12
583,1,High,0.0,0.55901699,x46,Control,7
600,1,High,-2.5,1.29903811,x46,Control,8
607,1,High,-4.125,1.58607219,x46,Control,9
619,1,High,-4.125,1.39754249,x46,Control,10
630,1,High,-4.75,1.22474487,x46,Control,11
637,1,High,-4.625,0.5153882,x46,Control,12
709,1,Low,-3.0,1.92028644,x49,Control,7
712,1,Low,-6.625,0.9437293,x49,Control,8
729,1,Low,-9.125,0.6731456,x49,Control,9
739,1,Low,-6.875,1.70018381,x49,Control,10
741,1,Low,-13.0,1.06066017,x49,Control,11
752,1,Low,-6.5,0.93541435,x49,Control,12
704,1,High,-0.625,2.5890394,x49,Control,7
718,1,High,0.625,2.18303115,x49,Control,8
723,1,High,0.25,3.230712,x49,Control,9
740,1,High,4.625,0.71807033,x49,Control,10
745,1,High,-5.375,1.32876823,x49,Control,11
756,1,High,-5.25,1.71391365,x49,Control,12
830,1,Low,-13.625,0.5153882,x50,Control,7
839,1,Low,-14.0,0.93541435,x50,Control,8
843,1,Low,-13.25,1.03077641,x50,Control,9
852,1,Low,-16.0,0.75,x50,Control,10
864,1,Low,-12.0,1.27475488,x50,Control,11
878,1,Low,-17.75,1.11803399,x50,Control,12
821,1,High,-6.875,0.6731456,x50,Control,7
835,1,High,1.875,1.32876823,x50,Control,8
842,1,High,-4.25,1.3462912,x50,Control,9
853,1,High,-5.75,1.3462912,x50,Control,10
867,1,High,-6.625,2.69548233,x50,Control,11
873,1,High,-4.375,1.03832798,x50,Control,12
944,1,Low,-14.5,0.96824584,x51,Control,7
956,1,Low,-17.125,1.03832798,x51,Control,8
965,1,Low,-16.75,0.96824584,x51,Control,9
974,1,Low,-15.875,0.80039053,x51,Control,10
