Column1,n_comp,freq,threshold,sd,subj,task,run
50,1,Low,-4.875,0.6731456,x32,Control,1
53,1,Low,-10.125,0.6731456,x32,Control,2
69,1,Low,-8.375,1.80710404,x32,Control,3
78,1,Low,-9.875,0.6731456,x32,Control,4
89,1,Low,-16.5,1.82002747,x32,Control,5
100,1,Low,-2.75,2.01556444,x32,Control,6
107,1,Low,-6.875,1.00778222,x32,Control,7
115,1,Low,-10.5,1.3462912,x32,Control,8
122,1,Low,-6.25,0.75,x32,Control,9
136,1,Low,-13.125,0.80039053,x32,Control,10
146,1,Low,-10.375,0.71807033,x32,Control,11
155,1,Low,-11.75,1.11803399,x32,Control,12
44,1,High,-2.75,0.61237244,x32,Control,1
58,1,High,-6.25,0.8660254,x32,Control,2
66,1,High,-1.0,0.61237244,x32,Control,3
80,1,High,-5.125,0.71807033,x32,Control,4
85,1,High,-5.75,1.27475488,x32,Control,5
96,1,High,3.375,1.09687055,x32,Control,6
104,1,High,-2.125,0.71807033,x32,Control,7
114,1,High,-2.0,2.89395923,x32,Control,8
127,1,High,-3.25,1.29903811,x32,Control,9
131,1,High,-2.875,1.28086885,x32,Control,10
150,1,High,0.375,1.46308749,x32,Control,11
154,1,High,-2.625,1.39754249,x32,Control,12
161,1,Low,-12.875,3.60771742,x34,Control,1
174,1,Low,-14.875,1.28086885,x34,Control,2
185,1,Low,-13.375,3.2040014,x34,Control,3
195,1,Low,-14.5,1.93649167,x34,Control,4
208,1,Low,-18.625,0.71807033,x34,Control,5
219,1,Low,-18.5,1.11803399,x34,Control,6
229,1,Low,-17.75,0.70710678,x34,Control,7
240,1,Low,-12.0,1.11803399,x34,Control,8
242,1,Low,-16.625,2.18303115,x34,Control,9
251,1,Low,-12.875,2.34853678,x34,Control,10
264,1,Low,-12.125,0.80039053,x34,Control,11
274,1,Low,-15.25,0.61237244,x34,Control,12
170,1,High,-5.375,1.90804219,x34,Control,1
179,1,High,-9.5,1.82002747,x34,Control,2
188,1,High,-6.75,0.93541435,x34,Control,3
200,1,High,-4.875,1.17924764,x34,Control,4
203,1,High,-6.75,1.6583124,x34,Control,5
217,1,High,-5.5,0.75,x34,Control,6
221,1,High,-5.75,1.6583124,x34,Control,7
232,1,High,-9.125,0.5153882,x34,Control,8
241,1,High,-6.875,0.6731456,x34,Control,9
255,1,High,-5.625,0.80039053,x34,Control,10
265,1,High,-8.875,1.66301684,x34,Control,11
276,1,High,-8.5,1.06066017,x34,Control,12
288,1,Low,-19.25,1.41421356,x40,Control,1
298,1,Low,-19.875,1.17924764,x40,Control,2
303,1,Low,-21.125,1.09687055,x40,Control,3
312,1,Low,-20.375,0.80039053,x40,Control,4
322,1,Low,-23.75,1.5411035,x40,Control,5
336,1,Low,-18.875,1.90804219,x40,Control,6
342,1,Low,-13.125,1.32876823,x40,Control,7
355,1,Low,-20.25,0.93541435,x40,Control,8
369,1,Low,-21.875,1.70018381,x40,Control,9
377,1,Low,-19.875,1.17924764,x40,Control,10
389,1,Low,-19.5,1.3462912,x40,Control,11
392,1,Low,-20.0,1.41421356,x40,Control,12
286,1,High,-3.875,1.58607219,x40,Control,1
299,1,High,-8.625,1.32876823,x40,Control,2
305,1,High,-6.75,0.55901699,x40,Control,3
315,1,High,-2.0,1.27475488,x40,Control,4
323,1,High,-9.375,1.00778222,x40,Control,5
340,1,High,-1.375,1.875,x40,Control,6
345,1,High,-8.25,1.47901995,x40,Control,7
353,1,High,-8.125,0.9437293,x40,Control,8
368,1,High,-7.25,0.93541435,x40,Control,9
374,1,High,-10.125,1.00778222,x40,Control,10
383,1,High,-5.375,1.32876823,x40,Control,11
399,1,High,-7.875,2.00390244,x40,Control,12
402,1,Low,-7.75,0.75,x45,Control,1
420,1,Low,-6.75,0.93541435,x45,Control,2
428,1,Low,-10.25,1.11803399,x45,Control,3
437,1,Low,-8.75,0.93541435,x45,Control,4
447,1,Low,-8.875,1.92435054,x45,Control,5
460,1,Low,-7.375,0.71807033,x45,Control,6
465,1,Low,-11.75,0.93541435,x45,Control,7
479,1,Low,-12.375,1.00778222,x45,Control,8
489,1,Low,-9.5,0.70710678,x45,Control,9
498,1,Low,-9.875,0.80039053,x45,Control,10
501,1,Low,-8.75,0.55901699,x45,Control,11
513,1,Low,-8.0,0.8291562,x45,Control,12
409,1,High,-6.75,1.27475488,x45,Control,1
419,1,High,-7.75,1.43614066,x45,Control,2
423,1,High,-7.375,0.71807033,x45,Control,3
431,1,High,-3.75,0.93541435,x45,Control,4
448,1,High,-7.25,0.55901699,x45,Control,5
456,1,High,-5.375,1.09687055,x45,Control,6
463,1,High,-11.25,0.93541435,x45,Control,7
476,1,High,-10.375,1.66301684,x45,Control,8
484,1,High,-4.375,2.47802845,x45,Control,9
496,1,High,-7.0,1.98431348,x45,Control,10
510,1,High,-3.25,1.29903811,x45,Control,11
515,1,High,-2.375,1.58607219,x45,Control,12
521,1,Low,-9.375,1.80710404,x46,Control,1
537,1,Low,-5.75,0.70710678,x46,Control,2
548,1,Low,-9.625,1.48429276,x46,Control,3
559,1,Low,-14.0,1.19895788,x46,Control,4
563,1,Low,-12.125,1.75445861,x46,Control,5
579,1,Low,-12.875,0.80039053,x46,Control,6
590,1,Low,-9.875,1.90804219,x46,Control,7
596,1,Low,-17.125,0.71807033,x46,Control,8
606,1,Low,-13.0,1.36930639,x46,Control,9
617,1,Low,-13.125,0.80039053,x46,Control,10
623,1,Low,-9.125,0.80039053,x46,Control,11
640,1,Low,-14.75,1.03077641,x46,Control,12
529,1,High,1.125,1.17924764,x46,Control,1
533,1,High,-3.25,1.43614066,x46,Control,2
541,1,High,-3.125,1.00778222,x46,Control,3
560,1,High,-3.5,1.47901995,x46,Control,4
569,1,High,-1.375,1.875,x46,Control,5
576,1,High,-0.5,1.47901995,x46,Control,6
583,1,High,0.0,0.55901699,x46,Control,7
600,1,High,-2.5,1.29903811,x46,Control,8
607,1,High,-4.125,1.58607219,x46,Control,9
619,1,High,-4.125,1.39754249,x46,Control,10
630,1,High,-4.75,1.22474487,x46,Control,11
637,1,High,-4.625,0.5153882,x46,Control,12
644,1,Low,-5.75,0.55901699,x49,Control,1
653,1,Low,-7.0,1.43614066,x49,Control,2
664,1,Low,-7.75,0.96824584,x49,Control,3
672,1,Low,-6.75,1.92028644,x49,Control,4
682,1,Low,-8.25,1.6583124,x49,Control,5
696,1,Low,-7.125,0.6731456,x49,Control,6
709,1,Low,-3.0,1.92028644,x49,Control,7
712,1,Low,-6.625,0.9437293,x49,Control,8
729,1,Low,-9.125,0.6731456,x49,Control,9
739,1,Low,-6.875,1.70018381,x49,Control,10
741,1,Low,-13.0,1.06066017,x49,Control,11
752,1,Low,-6.5,0.93541435,x49,Control,12
647,1,High,-6.375,3.954823,x49,Control,1
654,1,High,-3.875,1.70018381,x49,Control,2
666,1,High,7.875,1.32876823,x49,Control,3
675,1,High,-1.375,1.77218086,x49,Control,4
681,1,High,-2.875,1.125,x49,Control,5
