"","freq","threshold","sd","subj","task"
"1","Low",-14,1.63299316,"x23","Control"
"2","High",-18.66666667,1.49071198,"x23","Control"
"3","Low",-14.66666667,2.49443826,"x23","Control"
"4","High",-18.66666667,4.10960934,"x23","Control"
"5","High",-15.66666667,3.14466038,"x23","Control"
"6","Low",-13.33333333,1.49071198,"x23","Control"
"7","Low",-10.33333333,3.14466038,"x23","Control"
"8","High",-10.66666667,4.85340659,"x23","Control"
"9","High",-16,2.30940108,"x23","Control"
"10","Low",-13,3.41565026,"x23","Control"
"11","High",-19,1.91485422,"x23","Control"
"12","Low",-15,1,"x23","Control"
"13","Low",-14,2.5819889,"x01","Control"
"14","High",-18.66666667,2.21108319,"x01","Control"
"15","High",-20.66666667,1.49071198,"x01","Control"
"16","Low",-15.33333333,2.21108319,"x01","Control"
"17","High",-19,1,"x01","Control"
"18","Low",-15.33333333,2.21108319,"x01","Control"
"19","Low",-15,2.76887462,"x01","Control"
"20","High",-19,1.91485422,"x01","Control"
"21","High",-21,2.51661148,"x01","Control"
"22","Low",-15.33333333,1.49071198,"x01","Control"
"23","High",-18,1.63299316,"x01","Control"
"24","Low",-16.33333333,1.37436854,"x01","Control"
"25","High",-21,2.51661148,"x02","Control"
"26","Low",-20.33333333,1.37436854,"x02","Control"
"27","High",-22.33333333,2.92498813,"x02","Control"
"28","Low",-20.33333333,1.79505494,"x02","Control"
"29","Low",-19.66666667,1.79505494,"x02","Control"
"30","High",-22.33333333,1.79505494,"x02","Control"
"31","Low",-21.66666667,2.13437475,"x02","Control"
"32","High",-23.66666667,2.13437475,"x02","Control"
"33","High",-26,2.5819889,"x02","Control"
"34","Low",-20,2.5819889,"x02","Control"
"35","Low",-15.66666667,3.54338194,"x02","Control"
"36","High",-21,2.51661148,"x02","Control"
"37","Low",-17.33333333,3.19722102,"x06","Control"
"38","High",-17.33333333,4.10960934,"x06","Control"
"39","Low",-18,1.63299316,"x06","Control"
"40","High",-18.33333333,2.13437475,"x06","Control"
"41","High",-19.33333333,1.49071198,"x06","Control"
"42","Low",-17.33333333,1.49071198,"x06","Control"
"43","High",-13.33333333,2.21108319,"x06","Control"
"44","Low",-15.66666667,2.13437475,"x06","Control"
"45","High",-16,4.3204938,"x06","Control"
"46","Low",-20,1.63299316,"x06","Control"
"47","Low",-15.66666667,1.37436854,"x06","Control"
"48","High",-6.66666667,1.49071198,"x06","Control"
"49","Low",-17.66666667,1.37436854,"x07","Control"
"50","High",-15,1,"x07","Control"
"51","Low",-15,1.91485422,"x07","Control"
"52","High",-17.33333333,2.21108319,"x07","Control"
"53","High",-19,2.51661148,"x07","Control"
"54","Low",-18,1.63299316,"x07","Control"
"55","Low",-17,1.91485422,"x07","Control"
"56","High",-18,2.30940108,"x07","Control"
"57","High",-17,2.76887462,"x07","Control"
"58","Low",-17.66666667,2.13437475,"x07","Control"
"59","High",-17.33333333,2.21108319,"x07","Control"
"60","Low",-16.33333333,2.13437475,"x07","Control"
"61","Low",-16.66666667,2.49443826,"x08","Control"
"62","High",-19,1.91485422,"x08","Control"
"63","High",-15,1.91485422,"x08","Control"
"64","Low",-18.33333333,2.68741925,"x08","Control"
"65","High",-18,1.63299316,"x08","Control"
"66","Low",-14.66666667,3.77123617,"x08","Control"
"67","Low",-11.66666667,1.37436854,"x08","Control"
"68","High",-16.33333333,2.92498813,"x08","Control"
"69","Low",-17.66666667,2.13437475,"x08","Control"
"70","High",-18.66666667,2.21108319,"x08","Control"
"71","Low",-16,2.5819889,"x08","Control"
"72","High",-17.33333333,1.49071198,"x08","Control"
"73","Low",-14,3.46410162,"x09","Control"
"74","High",-18,3.46410162,"x09","Control"
"75","High",-17,2.51661148,"x09","Control"
"76","Low",-16.66666667,2.21108319,"x09","Control"
"77","Low",-17,2.51661148,"x09","Control"
"78","High",-14.33333333,2.13437475,"x09","Control"
"79","Low",-15.66666667,2.4267033,"x09","Control"
